m_H,tanb,Br_B_Xs_H,Br_K_pi_H,Br_eta_pi_H,Br_eta_prime_pi_H,Br_pi_semilep,Br_K_semilep,Br_Upsilon_gamma_H,Br_B_Xs_HH,Br_K_pi_HH
1.0000000000e-02,1.0000000000e+01,4.1632483232e-01,1.1814028173e-07,2.8166958824e-11,3.0301914700e-14,1.8867157570e-11,3.8988430675e-10,2.3431258285e-11,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0722672220e+01,3.6205508415e-01,1.0274591885e-07,1.8519827701e-11,1.9923565152e-14,1.6409691478e-11,3.3910148693e-10,1.5406095808e-11,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.1497569954e+01,3.1486444343e-01,8.9358244544e-08,1.2177867739e-11,1.3100907050e-14,1.4272312797e-11,2.9493318005e-10,1.0130407266e-11,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.2328467394e+01,2.7382833238e-01,7.7715512880e-08,8.0082564868e-12,8.6152540100e-15,1.2413329820e-11,2.5651783918e-10,6.6618312372e-12,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.3219411485e+01,2.3814320639e-01,6.7590159107e-08,5.2666304043e-12,5.6658223653e-15,1.0796481230e-11,2.2310613478e-10,4.3811537505e-12,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.4174741629e+01,2.0711064412e-01,5.8784326758e-08,3.4637948205e-12,3.7263382193e-15,9.3902287816e-12,1.9404633821e-10,2.8814282575e-12,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.5199110830e+01,1.8012354448e-01,5.1125982121e-08,2.2782045513e-12,2.4508844002e-15,8.1671421171e-12,1.6877160912e-10,1.8951708489e-12,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.6297508346e+01,1.5665414783e-01,4.4465538530e-08,1.4984826791e-12,1.6120623673e-15,7.1033637106e-12,1.4678893870e-10,1.2465433314e-12,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.7475284000e+01,1.3624363757e-01,3.8672923218e-08,9.8565919442e-13,1.0603686759e-15,6.1781435025e-12,1.2766953303e-10,8.1994067267e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.8738174229e+01,1.1849311158e-01,3.3635028426e-08,6.4835933218e-13,6.9750267686e-16,5.3734341494e-12,1.1104044902e-10,5.3935091355e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.0092330026e+01,1.0305574123e-01,2.9253496213e-08,4.2649787375e-13,4.5882490442e-16,4.6735389920e-12,9.6577319782e-11,3.5479094140e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.1544346900e+01,8.9629960740e-02,2.5442793095e-08,2.8056177850e-13,3.0182736920e-16,4.0648058770e-12,8.3998027556e-11,2.3339102875e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.3101297001e+01,7.7953550276e-02,2.2128536464e-08,1.8456497858e-13,1.9855435130e-16,3.5353608574e-12,7.3057200689e-11,1.5353413588e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.4770763560e+01,6.7798494963e-02,1.9246039754e-08,1.2141659425e-13,1.3061954274e-16,3.0748765796e-12,6.3541427433e-11,1.0100286643e-13,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.6560877829e+01,5.8966517386e-02,1.6739047678e-08,7.9875523373e-14,8.5929805592e-17,2.6743708383e-12,5.5265093135e-11,6.6446080688e-14,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.8480358684e+01,5.1285194972e-02,1.4558636652e-08,5.2547904721e-14,5.6530850081e-17,2.3260313692e-12,4.8066759634e-11,4.3713044618e-14,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.0538555088e+01,4.4604585322e-02,1.2662258764e-08,3.4570234253e-14,3.7190535764e-17,2.0230634634e-12,4.1806016250e-11,2.8757953345e-14,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.2745491629e+01,3.8794292819e-02,1.1012910536e-08,2.2743316239e-14,2.4467179186e-17,1.7595574296e-12,3.6360740937e-11,1.8919490754e-14,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.5111917342e+01,3.3740918596e-02,9.5784101409e-09,1.4962673993e-14,1.6096791772e-17,1.5303733194e-12,3.1624718165e-11,1.2447005058e-14,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.7649358068e+01,2.9345843632e-02,8.3307689180e-09,9.8439200322e-15,1.0590054361e-17,1.3310406682e-12,2.7505567082e-11,8.1888653386e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.0370172586e+01,2.5523301348e-02,7.2456448531e-09,6.4763443419e-15,6.9672283417e-18,1.1576712936e-12,2.3922939536e-11,5.3874789239e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.3287612811e+01,2.2198701808e-02,6.3018673356e-09,4.2608317756e-15,4.5837877572e-18,1.0068834530e-12,2.0806952801e-11,3.5444596794e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.6415888336e+01,1.9307174620e-02,5.4810238769e-09,2.8032453234e-15,3.0157214062e-18,8.7573587897e-13,1.8096826446e-11,2.3319367071e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.9770235643e+01,1.6792301956e-02,4.7671007104e-09,1.8442924658e-15,1.9840833130e-18,7.6167040729e-13,1.5739696752e-11,1.5342122445e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.3366992312e+01,1.4605016830e-02,4.1461702387e-09,1.2133893782e-15,1.3053600024e-18,6.6246207707e-13,1.3689585552e-11,1.0093826635e-15,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.7223676594e+01,1.2702645072e-02,3.6061192213e-09,7.9831092686e-16,8.5882007217e-19,5.7617573080e-13,1.1906503380e-11,6.6409120117e-16,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.1359072734e+01,1.1048072220e-02,3.1364123859e-09,5.2522483417e-16,5.6503501933e-19,5.0112826720e-13,1.0355669439e-11,4.3691897389e-16,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.5793322466e+01,9.6090190338e-03,2.7278868461e-09,3.4555689024e-16,3.7174888058e-19,4.3585581058e-13,9.0068331662e-12,2.8745853601e-16,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.0548023107e+01,8.3574114504e-03,2.3725733091e-09,2.2734993808e-16,2.4458225944e-19,3.7908515653e-13,7.8336841630e-12,1.8912567570e-16,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.5646332755e+01,7.2688326695e-03,2.0635405802e-09,1.4957912032e-16,1.6091668871e-19,3.2970893680e-13,6.8133389876e-12,1.2443043724e-16,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.1113083079e+01,6.3220466473e-03,1.7947603272e-09,9.8411952817e-17,1.0587123084e-19,2.8676401894e-13,5.9258947890e-12,8.1865986994e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.6974900262e+01,5.4985836917e-03,1.5609894655e-09,6.4747852484e-17,6.9655510744e-20,2.4941271946e-13,5.1540410823e-12,5.3861819602e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,9.3260334688e+01,4.7823800607e-03,1.3576678665e-09,4.2599396592e-17,4.5828280215e-20,2.1692646399e-13,4.4827220908e-12,3.5437175541e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0000000000e+02,4.1594645227e-03,1.1808293920e-09,2.8027348486e-17,3.0151722392e-20,1.8867157570e-13,3.8988430675e-12,2.3315120582e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0722672220e+02,3.6176857589e-03,1.0270245197e-09,1.8440003668e-17,1.9837690739e-20,1.6409691478e-13,3.3910148693e-12,1.5339692560e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.1497569954e+02,3.1464752814e-03,8.9325304759e-10,1.2132222351e-17,1.3051801904e-20,1.4272312797e-13,2.9493318005e-12,1.0092436221e-17,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.2328467394e+02,2.7366412420e-03,7.7690556592e-10,7.9821528473e-18,8.5871718070e-21,1.2413329820e-13,2.5651783918e-12,6.6401163931e-18,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.3219411485e+02,2.3801891028e-03,6.7571255264e-10,5.2517010589e-18,5.6497614283e-21,1.0796481230e-13,2.2310613478e-12,4.3687344705e-18,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.4174741629e+02,2.0701656700e-03,5.8770010051e-10,3.4552557353e-18,3.7171519017e-21,9.3902287816e-14,1.9404633821e-12,2.8743248456e-18,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.5199110830e+02,1.8005234464e-03,5.1115141119e-10,2.2733201791e-18,2.4456298099e-21,8.1671421171e-14,1.6877160912e-12,1.8911076845e-18,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.6297508346e+02,1.5660026544e-03,4.4457330520e-10,1.4956886595e-18,1.6090565709e-21,7.1033637106e-14,1.4678893870e-12,1.2442190693e-18,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.7475284000e+02,1.3620286285e-03,3.8666709432e-10,9.8406084988e-19,1.0586491825e-21,6.1781435025e-14,1.2766953303e-12,8.1861105721e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.8738174229e+02,1.1846225735e-03,3.3630324817e-10,6.4744494747e-19,6.9651898503e-22,5.3734341494e-14,1.1104044902e-12,5.3859026401e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.0092330026e+02,1.0303239480e-03,2.9249936062e-10,4.2597475196e-19,4.5826213185e-22,4.6735389920e-14,9.6577319782e-13,3.5435577189e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.1544346900e+02,8.9612295852e-04,2.5440098627e-10,2.8026249005e-19,3.0150539574e-22,4.0648058770e-14,8.3998027556e-13,2.3314205956e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.3101297001e+02,7.7940184695e-04,2.2126497314e-10,1.8439374510e-19,1.9837013894e-22,3.5353608574e-14,7.3057200689e-13,1.5339169183e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.4770763560e+02,6.7788382587e-04,1.9244496631e-10,1.2131862327e-19,1.3051414591e-22,3.0748765796e-14,6.3541427433e-13,1.0092136728e-19,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.6560877829e+02,5.8958866559e-04,1.6737879980e-10,7.9819468302e-20,8.5869501745e-23,2.6743708383e-14,5.5265093135e-13,6.6399450136e-20,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.8480358684e+02,5.1279406622e-04,1.4557753080e-10,5.2515831689e-20,5.6496346027e-23,2.3260313692e-14,4.8066759634e-13,4.3686364014e-20,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.0538555088e+02,4.4600206135e-04,1.2661590208e-10,3.4551882748e-20,3.7170793279e-23,2.0230634634e-14,4.1806016250e-13,2.8742687272e-20,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.2745491629e+02,3.8790979787e-04,1.1012404689e-10,2.2732815758e-20,2.4455882806e-23,1.7595574296e-14,3.6360740937e-13,1.8910755716e-20,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.5111917342e+02,3.3738412187e-04,9.5780274151e-11,1.4956665694e-20,1.6090328064e-23,1.5303733194e-14,3.1624718165e-13,1.2442006932e-20,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.7649358068e+02,2.9343947480e-04,8.3304793528e-11,9.8404820916e-21,1.0586355837e-23,1.3310406682e-14,2.7505567082e-13,8.1860054177e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.0370172586e+02,2.5521866882e-04,7.2454257768e-11,6.4743771403e-21,6.9651120331e-24,1.1576712936e-14,2.3922939536e-13,5.3858424672e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.3287612811e+02,2.2197616624e-04,6.3017015919e-11,4.2597061272e-21,4.5825767887e-24,1.0068834530e-14,2.0806952801e-13,3.5435232858e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.6415888336e+02,1.9306353677e-04,5.4808984846e-11,2.8026012143e-21,3.0150284759e-24,8.7573587897e-15,1.8096826446e-13,2.3314008917e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.9770235643e+02,1.6791680915e-04,4.7670058468e-11,1.8439238970e-21,1.9836868080e-24,7.6167040729e-15,1.5739696752e-13,1.5339056431e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.3366992312e+02,1.4604547017e-04,4.1460984721e-11,1.2131784767e-21,1.3051331152e-24,6.6246207707e-15,1.3689585552e-13,1.0092072208e-21,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.7223676594e+02,1.2702289664e-04,3.6060649287e-11,7.9819024470e-22,8.5869024272e-25,5.7617573080e-15,1.1906503380e-13,6.6399080925e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.1359072734e+02,1.1047803359e-04,3.1363713130e-11,5.2515577716e-22,5.6496072804e-25,5.0112826720e-15,1.0355669439e-13,4.3686152741e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.5793322466e+02,9.6088156453e-05,2.7278557743e-11,3.4551737412e-22,3.7170636928e-25,4.3585581058e-15,9.0068331662e-14,2.8742566372e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.0548023107e+02,8.3572575911e-05,2.3725498034e-11,2.2732732593e-22,2.4455793338e-25,3.7908515653e-15,7.8336841630e-14,1.8910686533e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.5646332755e+02,7.2687162784e-05,2.0635227983e-11,1.4956618102e-22,1.6090276865e-25,3.2970893680e-15,6.8133389876e-14,1.2441967342e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.1113083079e+02,6.3219586002e-05,1.7947468753e-11,9.8404548592e-23,1.0586326540e-25,2.8676401894e-15,5.9258947890e-14,8.1859827639e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.6974900262e+02,5.4985170864e-05,1.5609792894e-11,6.4743615560e-23,6.9650952676e-26,2.4941271946e-15,5.1540410823e-14,5.3858295031e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,9.3260334688e+02,4.7823296755e-05,1.3576601684e-11,4.2596972090e-23,4.5825671945e-26,2.1692646399e-15,4.4827220908e-14,3.5435158670e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0000000000e+03,4.1594264078e-05,1.1808235685e-11,2.8025961110e-23,3.0150229858e-26,1.8867157570e-15,3.8988430675e-14,2.3313966465e-23,4.2152840066e-05,5.4407809369e-06
